"","Months","Total_death"
"325","Feb","2"
"326","Feb","0"
"327","Feb","0"
"328","Feb","2"
"329","Feb","1"
"330","Feb","2"
"331","Feb","1"
"332","Feb","2"
"333","Feb","4"
"334","Feb","1"
"335","Feb","0"
"336","Mar","1"
"337","Mar","2"
"338","Mar","0"
"339","Mar","0"
"340","Mar","3"
"341","Mar","0"
"342","Mar","0"
"343","Mar","2"
"344","Mar","0"
"345","Mar","0"
"346","Mar","3"
"347","Mar","3"
"348","Mar","1"
"349","Mar","0"
"350","Mar","2"
"351","Mar","0"
"352","Mar","0"
"353","Mar","1"
"354","Mar","1"
"355","Mar","2"
"356","Mar","0"
"357","Mar","1"
"358","Mar","0"
"359","Mar","2"
"360","Mar","1"
"361","Mar","2"
"362","Mar","4"
"363","Mar","8"
"364","Apr","5"
"365","Apr","6"
"366","Apr","1"
"367","Apr","1"
"368","Apr","11"
"369","Apr","4"
"370","Apr","0"
"371","Apr","4"
"372","Apr","5"
"373","Apr","0"
"374","Apr","0"
"375","Apr","8"
"376","Apr","0"
"377","Apr","3"
"378","Apr","1"
"379","Apr","2"
"380","Apr","4"
"381","Apr","0"
"382","Apr","7"
"383","Apr","3"
"384","Apr","8"
"385","Apr","4"
"386","Apr","4"
"387","Apr","7"
"388","Apr","10"
"389","Apr","10"
"390","Apr","6"
"391","Apr","13"
"392","Apr","7"
"393","Apr","7"
"394","May","6"
"395","May","6"
"396","May","5"
"397","May","6"
"398","May","6"
"399","May","10"
"400","May","9"
"401","May","10"
"402","May","3"
"403","May","12"
"404","May","12"
"405","May","3"
"406","May","8"
"407","May","9"
"408","May","3"
"409","May","9"
"410","May","3"
"411","May","6"
"412","May","11"
"413","May","10"
"414","May","10"
"415","May","10"
"416","May","10"
"417","May","10"
"418","May","24"
"419","May","19"
"420","May","14"
"421","May","12"
"422","May","18"
"423","May","20"
"424","May","25"
"425","Jun","29"
"426","Jun","34"
"427","Jun","27"
"428","Jun","34"
"429","Jun","36"
"430","Jun","41"
"431","Jun","42"
"432","Jun","64"
"433","Jun","54"
"434","Jun","51"
"435","Jun","56"
"436","Jun","37"
"437","Jun","78"
"438","Jun","85"
"439","Jun","71"
"440","Jun","0"
"441","Jun","159"
"442","Jun","92"
"443","Jun","96"
"444","Jun","92"
"445","Jun","93"
"446","Jun","78"
"447","Jun","73"
"448","Jun","86"
"449","Jun","67"
"450","Jun","75"
"451","Jun","56"
"452","Jun","80"
"453","Jun","64"
"454","Jun","77"
"455","Jul","91"
"456","Jul","86"
"457","Jul","59"
"458","Jul","92"
"459","Jul","84"
"460","Jul","77"
"461","Jul","55"
"462","Jul","62"
"463","Jul","84"
"464","Jul","77"
"465","Jul","86"
"466","Jul","67"
"467","Jul","58"
"468","Jul","74"
"469","Jul","60"
"470","Jul","89"
"471","Jul","26"
"472","Jul","49"
"473","Jul","66"
"474","Jul","53"
"475","Jul","27"
"476","Jul","32"
"477","Jul","32"
"478","Jul","36"
"479","Jul","32"
"480","Jul","52"
"481","Jul","38"
"482","Jul","62"
"483","Jul","38"
